iter	Passed	Remaining
910	1092	106
911	1093	105
912	1094	104
913	1095	103
914	1097	101
915	1098	100
916	1099	99
917	1100	98
918	1101	97
919	1102	95
920	1104	94
921	1105	93
922	1106	92
923	1107	91
924	1108	89
925	1110	88
926	1111	87
927	1112	86
928	1113	85
929	1114	83
930	1115	82
931	1117	81
932	1118	80
933	1119	79
934	1120	77
935	1121	76
936	1122	75
937	1123	74
938	1124	73
939	1125	71
940	1126	70
941	1128	69
942	1129	68
943	1131	67
944	1132	65
945	1133	64
946	1134	63
947	1135	62
948	1136	61
949	1137	59
950	1139	58
951	1140	57
952	1141	56
953	1142	55
954	1144	53
955	1145	52
956	1146	51
957	1147	50
958	1148	49
959	1149	47
960	1150	46
961	1151	45
962	1152	44
963	1154	43
964	1155	41
965	1156	40
966	1157	39
967	1159	38
968	1160	37
969	1161	35
970	1162	34
971	1163	33
972	1164	32
973	1165	31
974	1167	29
975	1168	28
976	1169	27
977	1170	26
978	1171	25
979	1172	23
980	1173	22
981	1175	21
982	1177	20
983	1178	19
984	1179	17
985	1180	16
986	1181	15
987	1182	14
988	1184	13
989	1185	11
990	1186	10
991	1187	9
992	1188	8
993	1189	7
994	1190	5
995	1192	4
996	1193	3
997	1194	2
998	1195	1
999	1196	0
